field,supplier,prompt
name,any,"Crea un nome prodotto SEO-ottimizzato (50-60 caratteri) per questo articolo: {description}. Tema: {theme}. Colore: {color}"
description,any,"Scrivi una descrizione prodotto coinvolgente (150-160 parole) per: {description}. Includi questi dettagli: Categoria: {theme}, Colore: {color}, Taglia: {size}"
short_description,any,"Scrivi una meta descrizione accattivante (150-160 caratteri) per questo costume/accessorio: {description}. Includi dettagli chiave: {theme}, {color}"
url_key,any,"Genera un URL SEO-friendly (max 50 caratteri) per questo prodotto. Usa queste parole chiave: {description}, {theme}, {color}. Usa trattini, minuscole, no spazi."
