sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,associated_skus,downloadable_links,downloadable_samples,configurable_variations,configurable_variation_labels
G12904,,Default,simple,"Default Category/Accessori,Default Category/Accessori/Maschere",base,"MASCHERA OCCHI IN LATTICE STEAMPUNK","Mascherina occhi in lattice morbido Unisex, con stampati gli ingranaggi tipici dei viaggiatori nel tempo. Steampunk non è moda, è uno stile di vita...Chi vive nel passato ma ha uno sguardo nel futuro.. Borchie, ingranaggi, rotelle vapore e meccanismi...Ok per tutti i tipi di Party - Halloween Carnevale e festa a tema..","Maschera in Latex - Ingranaggi & Viaggi nel tempo - Party ",1.000000,1,"Taxable Goods","Catalog, Search",9.990000,,,,maschera-occhi-steampunk-vapore-futuro-meccanico-uomo-industria-tempo-viaggiatore-vapex-plastica-car-2,"MASCHERA LATTICE STEAMPUNK",,"MASCHERA LATTICE STEAMPUNK",,,/g/1/g12904.jpg,,,,,,"12/18/24, 10:47 PM","12/20/24, 12:54 PM",,,"Block after Info Column",,,,,,,,,,,"Use config",,tag_prodotto=halloween,6.0000,0.0000,1,0,0,1,1,1,10000,1,1,,1,1,1,1,0.0000,1,0,0,0,,,,,,,/g/1/g12904.jpg,,,,,,,,,,,,,,
W01785,,Default,simple,,base,"ORECCHINI STEAMPUNK","Orecchini in metallo bronzo/oro/rame a ciondolo con meccanismi, pietre, catenine e piume. Ideale come accessorio per Steampunk, Uomo Vapore e viaggiatore nel tempo. Festa a tema, Carnevale Halloween o come accessorio Glam - Punk Rock - Gotico!","Orecchini Viaggio nel tempo - Party",1.000000,1,"Taxable Goods","Catalog, Search",14.990000,,,,orecchini-metallo-piume-ingranaggi-ciondoli-catene-pietra-steampunk-vapore-futuro-meccanico-uomo-ind,"Orecchini Viaggio nel tempo - Party",,"Orecchini Viaggio nel tempo - Party",,,/w/0/w01785.jpg,,,,,,"12/18/24, 10:47 PM","12/20/24, 12:54 PM",,,"Block after Info Column",,,,,,,,,,,"Use config",,,3.0000,0.0000,1,0,0,1,1,1,10000,1,1,,1,1,1,1,0.0000,1,0,0,0,,,,,,,/w/0/w01785.jpg,,,,,,,,,,,,,,
FF53168,,Default,simple,,base,"COLLANA STEAMPUNK INGRANAGGIO","Accessorio perfetto per festa a tema Steampunk - Viaggio nel tempo...tra macchine a vapore, meccanismi ed ingranaggi che ti faranno vivere tra presente e passato. Da abbinare a costumi, armi e maschere. Ok carnevale, halloween...Gotic/punk/rock Glam LOOK. Collana in metallo bronzato, effetto antico e arrugginito, con 2 diamantini per dare luce e valore.","Collanina e ciondolo Uomo Vapore - Party",1.000000,1,"Taxable Goods","Catalog, Search",9.900000,,,,collana-metallo-piume-ingranaggi-ciondoli-catene-pietra-steampunk-vapore-futuro-meccanico-uomo-indus,"collana chiave Viaggio nel tempo - Party",,"collana chiave Viaggio nel tempo - MECCANISMO-INGRANAGGIO - Party",,,/f/f/ff53168b.jpg,,,,,,"12/18/24, 10:47 PM","12/20/24, 12:54 PM",,,"Block after Info Column",,,,,,,,,,,"Use config",,,4.0000,0.0000,1,0,0,1,1,1,10000,1,1,,1,1,1,1,0.0000,1,0,0,0,,,,,,,/f/f/ff53168b.jpg,,,,,,,,,,,,,,
G17585,,Default,simple,,base,"COLLANA STEAMPUNK CHIAVE","Collana a ciondolo di una chiave con meccanismi in metallo. D'effetto e ben fatta per completare il tuo travestimento steampunk a Carnevale o Halloween..Ok anche come accessorio Glam, Punk/Rock - Gotico.","Collanina e ciondolo Viaggio nel Tempo - Party",1.000000,1,"Taxable Goods","Catalog, Search",7.900000,,,,collana-chiave-metallo-piume-ingranaggi-ciondoli-catene-pietra-steampunk-vapore-futuro-meccanico-uom,"collana chiave Viaggio nel tempo - Party",,"collana chiave Viaggio nel tempo - MECCANISMO-INGRANAGGIO - Party",,,/g/1/g17585_1_2.jpg,,,,,,"12/18/24, 10:47 PM","12/20/24, 12:54 PM",,,"Block after Info Column",,,,,,,,,,,"Use config",,,1.0000,0.0000,1,0,0,1,1,1,10000,1,1,,1,1,1,1,0.0000,1,0,0,0,,,,,,,/g/1/g17585_1_2.jpg,,,,,,,,,,,,,,
17583,,Default,simple,,base,"COLLANA STEAMPUNK MECCANISMO","Collana a ciondolo di un meccanismo di ingranaggi e rondelle con diamanti blu per dare luce e preziosità. Metallo in colore oro lucido, accessorio perfetto per i tuoi look Glam - Punk/rock e gotic! OK anche per festa a tema Steampunk - Uomo Vapore Halloween Carnevale e disco..","Collanina e ciondolo Viaggio nel tempo Unisex  - Party",1.000000,1,"Taxable Goods","Catalog, Search",6.900000,,,,collana-metallo-piume-ingranaggi-ciondoli-catene-gotico-pietra-steampunk-vapore-futuro-meccanico-uom,"collana chiave Viaggio nel tempo - Party",,"collana chiave Viaggio nel tempo - MECCANISMO-INGRANAGGIO - Party",,,/g/1/g17583b.jpg,,,,,,"12/18/24, 10:47 PM","12/20/24, 12:54 PM",,,"Block after Info Column",,,,,,,,,,,"Use config",,,1.0000,0.0000,1,0,0,1,1,1,10000,1,1,,1,1,1,1,0.0000,1,0,0,0,,,,,,,/g/1/g17583b.jpg,,,,,,,,,,,,,,
17372,,Default,simple,,base,"SET STEAMPUNK COLLANA E ANELLO","Set compreso di Anello in metallo regolabile e catenina con ciondolo Steampunk. Ideale per i tuoi travestimenti, Gotic Look -Punk/Rock. Ok come accessori per carnevale ed Halloween, Festa a tema Uomini del Vapore & Viaggi temporali.","Collanina con ciondolo ed anello EFFETTO 3D - Viaggiatori nel tempo Unisex  - Party",1.000000,1,"Taxable Goods","Catalog, Search",7.900000,,,,set-collana-manello-metallo-piume-ingranaggi-ciondoli-catene-gotico-pietra-steampunk-vapore-futuro-m,"set chiave Viaggio nel tempo - Party",,"set chiave Viaggio nel tempo - MECCANISMO-INGRANAGGIO - Party",,,/g/1/g17372b.jpg,,,,,,"12/18/24, 10:47 PM","12/20/24, 12:54 PM",,,"Block after Info Column",,,,,,,,,,,"Use config",,,4.0000,0.0000,1,0,0,1,1,1,10000,1,1,,1,1,1,1,0.0000,1,0,0,0,,,,,,,/g/1/g17372b.jpg,,,,,,,,,,,,,,
FF74701,,Default,simple,,base,"ANELLO GOTICO","Anello in metallo dorato regolabile con medaglione scolpito un teschio di donna; per i tuoi look Gotic/Steampunk Glam Punk/Rock. Ok festa a tema, Outfits Halloween, carnevale dia des los muertos...","Anello regolabile Volto Scheletro - Horror Party",1.000000,1,"Taxable Goods","Catalog, Search",8.900000,,,,anello-teschio-scheletro-gotico-ghotic-metallo-muertos-dia-piume-ingranaggi-ciondoli-catene-gotico-p,"anello Viaggio nel tempo - Party",,"anello chiave Viaggio nel tempo - MECCANISMO-INGRANAGGIO - Party",,,/f/f/ff74701b.jpg,,,,,,"12/18/24, 10:47 PM","12/20/24, 12:54 PM",,,"Block after Info Column",,,,,,,,,,,"Use config",,,5.0000,0.0000,1,0,0,1,1,1,10000,1,1,,1,1,1,1,0.0000,1,0,0,0,,,,,,,/f/f/ff74701b.jpg,,,,,,,,,,,,,,
G14715,,Default,simple,,base,"BENDA OCCHIO  STEAMPUNK","Completa il tuo travestimento da Viaggiatore nel tempo con questa benda in lattice con elastico regolabile. rappresentano i meccanismi e gli ingranaggi che ti permettono di viaggiare tra presente e passato. Ok per Look Gotic/Steampunk/Rock - Ok per Halloween, Carnevale  e festa a tema..","Patch Occhio in Latex con elastico - Ingranaggi & Viaggi nel tempo - Party ",1.000000,1,"Taxable Goods","Catalog, Search",4.900000,,,,benda-occhi-eye-patch-eyepatch-steampunk-vapore-futuro-meccanico-uomo-industria-tempo-viaggiatore-va,"benda occhio LATTICE STEAMPUNK",,"benda occhio LATTICE STEAMPUNK",,,/g/1/g17415.jpg,,,,,,"12/18/24, 10:47 PM","12/20/24, 12:54 PM",,,"Block after Info Column",,,,,,,,,,,"Use config",,,3.0000,0.0000,1,0,0,1,1,1,10000,1,1,,1,1,1,1,0.0000,1,0,0,0,,,,,,,/g/1/g17415.jpg,,,,,,,,,,,,,,
G13043,,Default,simple,,base,"CERCHIETTO  STEAMPUNK","Completa il tuo travestimento Steampunk - Uomini dal vapore, tra passato e presente, ingranaggi e meccanismi. Il cerchietto rivestito in raso nero ha un vistoso fiocco colore oro/bronzo in similpelle con merletto crema. Punzonati i meccanismi e le .rondelle. Ideale per festa a tema, Gotico e Glam Look - Punk Rock Style. Tg. Unica","Cerchietto con Fiocco ed Ingranaggi - Viaggi nel tempo - Party ",1.000000,1,"Taxable Goods","Catalog, Search",10.090000,,,,cerchietto-testa-fiocco-merletto-capelli-eye-patch-eyepatch-steampunk-vapore-futuro-meccanico-uomo-i,"cerchietto STEAMPUNK",,"cerchietto STEAMPUNK",,,/g/1/g13043c.jpg,,,,,,"12/18/24, 10:47 PM","12/20/24, 12:54 PM",,,"Block after Info Column",,,,,,,,,,,"Use config",,,1.0000,0.0000,1,0,0,1,1,1,10000,1,1,,1,1,1,1,0.0000,1,0,0,0,,,,,,,/g/1/g13043c.jpg,,,,,,,,,,,,,,
W75704,,Default,simple,,base,"OROLOGIO DA TASCHINO CON CATENA","Questo orologio è il fiore all'occhiello e quel dettaglio che fa vincere sicuramente il tuo travestimento. Che tu sia un viaggiatore nel tempo Steampunk, pirata o ispettore del '900 non può mancare come accessorio. Comodo, ben fatto e d'impatto. Orologio in metallo con sportello a chiusura clic, con incisa una rosa e decori vari. Insieme arriverà anche la catenina. Ok Halloween, Carnevale e festa a tema.
","Orologio da tasca in metallo con sportello e rotelle, Catena - Party",1.000000,1,"Taxable Goods","Catalog, Search",24.900000,,,,orologio-tasca-taschino-pirata-storico-londra-ispettore-classico-metallo-piume-ingranaggi-ciondoli-c,"orologio tasca",,"orologio trasca",,,/w/7/w75704.jpg,,,,,,"12/18/24, 10:47 PM","12/20/24, 12:54 PM",,,"Block after Info Column",,,,,,,,,,,"Use config",,,3.0000,0.0000,1,0,0,1,1,1,10000,1,1,,1,1,1,1,0.0000,1,0,0,0,,,,,,,/w/7/w75704.jpg,,,,,,,,,,,,,,
